"SalePrice","TotalSF","OverallQual","GrLivArea","GarageCars","TotalBath","KitchenQual","AgeAtSale","Neighborhood"
162500,2464,6,1232,2,2,4,24,"Veenker"
412500,4240,9,2668,3,3.5,6,5,"NridgHt"
220000,3082,7,1541,2,2,5,5,"NridgHt"
103200,1764,4,882,0,1,4,51,"OldTown"
152000,2765,6,1616,1,2,5,81,"OldTown"
127500,1999,5,1355,0,3,4,68,"Edwards"
190000,3484,5,1867,1,2,4,54,"ClearCr"
325624,3743,8,2161,3,2.5,6,0,"NridgHt"
183500,2560,7,1720,2,2.5,5,3,"Gilbert"
228000,3393,8,1707,2,2.5,4,25,"Timber"
128500,1574,5,1382,2,1.5,4,66,"OldTown"
215000,2736,6,1656,2,2,4,50,"NAmes"
239000,2831,7,1767,2,3,5,19,"StoneBr"
163000,2724,6,1362,2,2.5,4,47,"NAmes"
184000,3257,6,1651,2,3,4,22,"Timber"
243000,3360,6,2158,2,3,5,57,"Edwards"
211000,3211,6,2060,2,3,4,19,"ClearCr"
172500,2972,5,1920,2,3,5,48,"Sawyer"
501837,4450,9,2234,3,3,6,1,"StoneBr"
100000,1936,5,968,2,1,4,84,"OldTown"
177000,2281,6,1525,2,2.5,5,7,"Somerst"
200100,2595,7,1802,1,1.5,4,86,"Crawfor"
120000,1340,5,1340,1,1,4,50,"Edwards"
200000,3444,7,2082,2,2.5,5,5,"OldTown"
127000,1756,5,1252,2,1,4,98,"BrkSide"
475000,4143,10,3608,3,2.5,6,114,"OldTown"
173000,2405,7,1217,2,3,5,19,"Mitchel"
135000,2172,5,1656,1,2.5,4,93,"OldTown"
153337,2310,5,1224,2,3,4,30,"SawyerW"
286000,3186,8,1593,2,2.5,6,7,"StoneBr"
315000,3580,8,2727,2,2.5,5,75,"Crawfor"
184000,2204,7,1479,2,2.5,5,35,"NAmes"
192000,2862,7,1431,2,3,5,10,"CollgCr"
130000,2679,7,1709,2,2,5,2,"Edwards"
127000,1728,5,864,1,1,4,36,"CollgCr"
148500,2311,6,1456,2,2.5,4,33,"NPkVill"
311872,3452,7,1726,3,3,6,0,"Somerst"
235000,4080,8,3112,2,3.5,5,88,"NAmes"
104000,2613,6,2229,0,1,4,97,"OldTown"
274900,3426,8,1713,3,3,6,5,"NridgHt"
140000,2242,4,1121,2,2,4,7,"Edwards"
171500,2475,6,1279,2,2.5,4,31,"Mitchel"
112000,1927,6,1310,1,2,4,82,"OldTown"
149000,1696,6,848,2,2,5,4,"CollgCr"
110000,2004,5,1284,1,1.5,4,62,"OldTown"
180500,2866,7,1442,2,2,4,19,"Gilbert"
143900,2836,5,1696,1,1.5,4,45,"Sawyer"
141000,2200,4,1100,1,2,4,48,"NAmes"
277000,3219,7,2062,2,3.5,4,19,"SawyerW"
145000,2184,6,1092,2,2,4,44,"NAmes"
98000,1728,5,864,0,2,4,83,"Edwards"
186000,2424,6,1212,2,2,5,1,"Edwards"
252678,2752,7,1852,2,3.5,5,0,"Somerst"
156000,1980,5,990,2,1.5,4,11,"CollgCr"
161750,2081,6,1392,1,1.5,4,33,"CollgCr"
134450,2306,5,1236,1,1.5,5,49,"NAmes"
210000,2872,7,1436,2,3,5,4,"CollgCr"
107000,2014,4,1328,1,1,4,81,"OldTown"
311500,2752,7,1954,2,2,5,69,"Crawfor"
167240,2496,7,1248,2,2,5,1,"Blmngtn"
204900,2996,7,1498,2,2,5,0,"CollgCr"
200000,3277,6,2267,2,2.5,5,7,"Gilbert"
179900,2265,6,1552,2,3.5,4,31,"NWAmes"
97000,1728,4,864,2,1,4,38,"NAmes"
386250,4784,10,2392,3,2,6,6,"NridgHt"
112000,1932,5,1302,1,2.5,4,38,"BrDale"
290000,3723,7,2520,3,2.5,5,12,"NoRidge"
106000,1470,6,987,1,1.5,4,38,"BrDale"
125000,1824,5,912,1,1,4,43,"Sawyer"
192500,2928,7,1555,2,2,5,4,"Blmngtn"
148000,2388,6,1194,1,2,4,51,"NAmes"
403000,4256,8,2794,3,3.5,6,14,"NoRidge"
94500,1470,6,987,1,1.5,4,34,"BrDale"
128200,1788,5,894,1,2,4,34,"CollgCr"
216500,2820,6,1960,2,3.5,5,8,"Gilbert"
89500,1470,6,987,1,1.5,4,37,"BrDale"
185500,2828,7,1414,2,2,5,6,"CollgCr"
194500,2740,7,1744,2,2.5,5,17,"SawyerW"
318000,3388,8,1694,3,2,5,0,"NridgHt"
113000,2222,6,1487,1,1.5,4,65,"Edwards"
262500,3132,8,1566,2,3,5,2,"Somerst"
110500,1552,5,866,0,1,5,62,"OldTown"
79000,1980,5,1440,1,1,4,106,"OldTown"
120000,1843,6,1217,1,1.5,4,29,"SawyerW"
205000,3058,7,2110,2,3.5,5,16,"SawyerW"
241500,3717,7,1872,2,2.5,4,18,"NWAmes"
137000,2948,6,1928,1,2,3,96,"OldTown"
140000,2742,6,1375,2,1,4,52,"NAmes"
180000,2508,7,1668,2,2.5,5,4,"CollgCr"
277000,3588,6,2144,2,2.5,5,49,"ClearCr"
76500,2034,3,1306,0,1,3,70,"BrkSide"
235000,3198,8,1625,2,3.5,5,1,"Crawfor"
173000,2438,6,1640,2,2.5,5,4,"SawyerW"
158000,2604,6,1302,1,2.5,5,43,"NAmes"
145000,2628,5,1314,1,2,4,53,"NAmes"
230000,3266,7,2291,2,2.5,5,7,"Gilbert"
207500,2592,6,1728,2,2.5,5,5,"Somerst"
220000,3208,7,1604,2,3.5,5,3,"CollgCr"
231500,2755,7,1792,2,2.5,5,7,"CollgCr"
97000,882,5,882,1,1,4,52,"OldTown"
176000,2744,6,1382,2,2,4,47,"NAmes"
276000,4056,8,2574,3,2.5,6,0,"CollgCr"
151000,1718,6,1212,2,2,4,29,"Sawyer"
130000,1852,5,1316,2,2,4,81,"OldTown"
73000,1444,5,764,2,1,4,83,"OldTown"
175500,2844,6,1422,2,2,5,27,"NWAmes"
185000,2313,6,1511,2,3.5,4,9,"Gilbert"
179500,2492,5,2192,1,2.5,5,69,"SWISU"
120500,1518,5,778,1,1,4,68,"IDOTRR"
148000,2256,6,1113,1,2.5,4,31,"Edwards"
266000,3034,8,1939,3,2.5,5,0,"Somerst"
241500,2748,7,1363,2,2,4,54,"ClearCr"
290000,3422,8,2270,3,2.5,5,11,"NoRidge"
139000,2872,6,1632,1,3,4,51,"NAmes"
124500,1632,5,816,1,1,4,25,"Mitchel"
205000,2500,7,1548,2,2.5,6,84,"BrkSide"
201000,3120,7,1560,2,2,5,7,"Mitchel"
141000,1728,4,864,2,1,4,59,"Gilbert"
415298,4242,9,2121,3,2.5,6,1,"NridgHt"
192000,3182,7,2022,2,2.5,4,31,"ClearCr"
228500,2789,7,1982,2,2.5,5,18,"SawyerW"
185000,2524,6,1262,2,2,5,0,"Somerst"
207500,2628,7,1314,2,3,5,2,"NridgHt"
244600,2936,8,1468,3,2,5,1,"Somerst"
179200,3150,6,1575,2,3,5,15,"SawyerW"
164700,1875,7,1250,2,2.5,5,1,"Somerst"
159000,2646,6,1734,2,1.5,5,44,"NAmes"
88000,1716,4,858,0,1,4,35,"NAmes"
122000,1782,5,900,1,1,4,43,"Sawyer"
153575,2094,6,1396,1,1,4,92,"BrkSide"
233230,2998,8,1919,2,2.5,5,0,"CollgCr"
135900,2496,5,1716,0,3,3,96,"SWISU"
131000,2484,5,1716,1,1.5,4,60,"Edwards"
235000,3058,7,2263,2,3.5,5,29,"NWAmes"
167000,3060,6,1644,2,2,4,56,"NAmes"
142500,2006,6,1003,2,2,4,22,"Mitchel"
152000,2468,5,1558,1,1.5,4,57,"IDOTRR"
239000,2925,7,1950,2,2.5,5,10,"Somerst"
175000,2445,6,1743,2,2.5,4,39,"NWAmes"
158500,2244,6,1152,1,1.5,5,59,"Crawfor"
157000,2501,5,1336,1,2,4,53,"Crawfor"
267000,3480,8,2452,2,2.5,5,9,"CollgCr"
205000,3082,7,1541,3,2,5,5,"CollgCr"
149900,1788,5,894,2,2,4,34,"CollgCr"
295000,4963,7,3493,3,3,5,128,"OldTown"
305900,4000,8,2000,3,3,5,3,"CollgCr"
225000,2943,7,2243,3,3.5,5,17,"SawyerW"
89500,1725,6,1406,0,1,3,88,"IDOTRR"
82500,1722,4,861,2,1,4,69,"Edwards"
360000,3840,9,1944,3,3,6,3,"NridgHt"
165600,2198,6,1501,2,2.5,5,13,"Gilbert"
132000,1944,6,972,1,2,4,61,"NAmes"
119900,1911,5,1118,2,2,4,67,"OldTown"
375000,4172,7,2036,2,4,4,44,"Timber"
178000,2369,7,1641,2,2,6,81,"OldTown"
188500,2148,7,1432,2,3.5,5,5,"Gilbert"
260000,3198,7,2353,2,3.5,6,29,"NWAmes"
270000,3047,8,1959,3,2.5,5,1,"Somerst"
260000,3993,7,2646,3,3.5,5,16,"NoRidge"
187500,2844,7,1472,2,3,4,29,"NWAmes"
342643,3845,9,2596,3,3.5,5,0,"NridgHt"
354000,3604,8,2468,3,3.5,5,3,"NridgHt"
301000,4232,7,2730,2,3.5,5,21,"SawyerW"
126175,2325,3,1163,1,2,4,51,"OldTown"
242000,3688,7,2978,2,2.5,5,43,"NAmes"
87000,1523,5,803,2,1,4,66,"IDOTRR"
324000,3438,8,1719,2,3.5,5,15,"Veenker"
145250,2766,6,1383,1,1.5,4,46,"NAmes"
214500,2978,6,2134,2,2,5,93,"BrkSide"
78000,1788,5,1192,1,1,4,89,"IDOTRR"
119000,3456,5,1728,1,2.5,4,43,"NAmes"
139000,2112,5,1056,1,2,4,49,"NAmes"
284000,4835,8,1629,3,3,5,6,"NridgHt"
207000,2716,7,1358,2,3,5,4,"NridgHt"
192000,2581,6,1638,2,3.5,4,10,"Gilbert"
228950,3285,5,1786,2,4,4,43,"Timber"
377426,3844,9,1922,3,3,5,2,"StoneBr"
214000,3072,7,1536,2,3,5,6,"CollgCr"
202500,2829,7,1621,2,3,5,22,"NWAmes"
155000,2430,6,1215,1,1,4,51,"NAmes"
202900,2875,8,1908,2,2.5,5,8,"Timber"
82000,1562,4,841,1,1,4,59,"SawyerW"
87500,1040,3,1040,2,2,4,57,"NAmes"
266000,3368,9,1684,2,2,6,3,"NridgHt"
85000,1648,5,1112,1,1.5,4,34,"MeadowV"
140200,2549,6,1577,1,1,3,67,"BrkSide"
151500,1916,6,958,1,1,4,47,"NAmes"
157500,2956,6,1478,2,3,4,49,"NAmes"
154000,2390,7,1626,2,3.5,5,5,"NridgHt"
437154,4576,9,2728,3,3.5,6,1,"NridgHt"
318061,3738,9,1869,2,2,6,0,"NridgHt"
190000,2906,7,1453,2,2.5,5,20,"ClearCr"
95000,1727,5,1111,1,1.5,4,67,"Edwards"
105900,1344,6,720,2,1,4,82,"OldTown"
140000,2535,6,1595,1,1,4,66,"SWISU"
177500,2400,6,1200,2,3,5,12,"CollgCr"
173000,2325,6,1167,2,3,5,17,"Gilbert"
134000,2284,5,1142,2,2.5,4,31,"MeadowV"
130000,2414,5,1352,1,1.5,5,48,"ClearCr"
280000,3010,8,1924,2,3.5,5,8,"NoRidge"
156000,1800,6,912,2,2,4,29,"Mitchel"
145000,2388,5,1505,1,2,4,68,"BrkSide"
198500,1922,7,1922,2,3,5,6,"Edwards"
118000,1470,6,987,1,1.5,5,37,"BrDale"
190000,2370,6,1574,2,3.5,4,30,"NWAmes"
147000,2016,5,1344,1,1,4,89,"IDOTRR"
159000,2788,6,1394,2,2.5,4,46,"NAmes"
165000,2530,6,1431,1,1.5,4,46,"NAmes"
132000,2536,5,1268,1,1,4,56,"NAmes"
162000,2350,5,1287,2,2,5,51,"NAmes"
172400,2617,6,1664,2,2.5,4,6,"Gilbert"
134432,1588,4,1588,2,2,4,49,"ClearCr"
125000,1496,6,752,1,2,4,26,"SawyerW"
123000,1927,5,1319,1,2,4,56,"NAmes"
219500,2775,7,1928,2,2.5,5,4,"CollgCr"
61000,1587,1,904,0,1.5,3,87,"Edwards"
148000,1784,5,914,2,1,4,10,"CollgCr"
340000,4046,8,2466,2,3,5,3,"Somerst"
394432,3712,9,1856,3,2.5,6,0,"StoneBr"
179000,2782,6,1800,2,2.5,4,9,"Gilbert"
127000,2717,5,1691,1,2,5,86,"SWISU"
187750,2594,7,1301,2,3,5,0,"Somerst"
213500,2736,7,1797,2,2.5,5,1,"CollgCr"
76000,1568,6,784,2,1,4,81,"SawyerW"
240000,3533,6,1953,2,3.5,5,15,"ClearCr"
192000,2525,8,1269,2,2,5,6,"Blmngtn"
81000,1842,5,1184,0,1,4,96,"Edwards"
125000,2166,6,1125,1,2,4,33,"Edwards"
191000,2947,7,1479,2,2,5,9,"CollgCr"
426000,4014,10,2332,3,3.5,6,1,"NridgHt"
119000,2228,5,1367,1,2,4,108,"Edwards"
215000,2765,6,1961,2,3.5,5,8,"Mitchel"
106500,882,5,882,1,1,4,48,"NAmes"
100000,1576,4,788,0,1,4,65,"BrkSide"
109000,1769,5,1034,1,1,4,67,"OldTown"
129000,2288,5,1144,1,2,4,54,"Edwards"
123000,1788,5,894,2,1,4,37,"CollgCr"
169500,2676,5,1812,1,2,4,45,"NAmes"
67000,2038,5,1077,1,1,4,87,"IDOTRR"
241000,2642,7,1550,2,3,5,3,"Somerst"
245500,2548,8,1288,2,2.5,6,12,"Veenker"
164990,2620,7,1310,2,2,5,1,"CollgCr"
108000,1344,5,672,1,1,4,68,"Sawyer"
258000,3404,8,2263,2,2.5,5,8,"NoRidge"
168000,2378,6,1572,2,2.5,4,12,"Gilbert"
150000,2901,4,1620,2,3,4,33,"Sawyer"
115000,2230,6,1639,1,1,4,72,"SWISU"
177000,2520,6,1680,1,2,4,93,"Crawfor"
280000,3235,7,2172,3,2.5,5,1,"NridgHt"
339750,3112,8,2078,3,3.5,6,1,"Somerst"
60000,2552,5,1276,1,1,4,51,"Edwards"
145000,2112,5,1056,2,2,4,51,"Gilbert"
222000,2948,7,1478,2,3.5,5,1,"Somerst"
115000,2036,5,1028,2,1,4,83,"OldTown"
228000,3177,7,2097,3,3,5,15,"SawyerW"
181134,2680,7,1340,2,2,5,0,"Gilbert"
149500,2072,6,1400,2,1.5,4,28,"Sawyer"
239000,3994,6,2624,3,3.5,4,89,"Crawfor"
126000,1890,5,1134,1,2.5,4,67,"Edwards"
142000,2112,5,1056,1,2,4,42,"NAmes"
206300,2688,7,1344,4,4,4,11,"Mitchel"
215000,3204,6,1602,2,2.5,5,32,"NWAmes"
113000,1976,5,988,2,1,4,54,"Mitchel"
315000,4100,8,2630,3,3.5,5,10,"NoRidge"
139000,2392,6,1196,1,2,4,52,"NAmes"
135000,2040,7,1389,1,1.5,4,63,"OldTown"
275000,3162,7,1644,2,3.5,5,20,"SawyerW"
109008,1814,4,907,1,1,4,51,"NAmes"
195400,2416,7,1208,2,3,5,0,"CollgCr"
175000,2804,6,1412,2,3,5,21,"Timber"
85400,1470,6,987,1,1.5,4,37,"BrDale"
79900,2099,6,1198,0,1,4,88,"OldTown"
122500,2130,5,1365,2,2.5,4,36,"BrDale"
181000,2530,6,1604,2,2.5,4,11,"Gilbert"
81000,1260,4,630,0,2,4,36,"MeadowV"
212000,2460,7,1661,2,3.5,5,13,"CollgCr"
116000,1766,6,1118,2,1,4,86,"OldTown"
119000,1788,6,904,1,1,4,83,"BrkSide"
90350,1134,5,694,1,1,5,94,"Crawfor"
110000,1880,6,1196,2,1,5,89,"Edwards"
555000,5496,10,2402,3,3,6,1,"NridgHt"
118000,2880,4,1440,0,2,3,53,"Edwards"
162900,2651,5,1573,2,2,4,78,"BrkSide"
172500,2516,7,1258,3,2,5,1,"Blmngtn"
210000,2823,7,1908,2,3.5,5,14,"CollgCr"
127500,3125,6,1689,2,1,4,53,"Edwards"
190000,3405,6,1888,2,2.5,5,44,"NAmes"
199900,2816,7,1886,2,2.5,5,8,"Gilbert"
119500,2156,6,1376,1,2,4,69,"IDOTRR"
120000,1832,3,1183,1,1.5,4,59,"OldTown"
110000,1626,6,813,1,1,5,76,"OldTown"
280000,3066,7,1533,2,3,5,31,"ClearCr"
204000,2628,6,1756,2,3.5,4,11,"Timber"
210000,2358,8,1590,2,2.5,5,1,"Somerst"
188000,3456,5,1728,2,4,4,30,"Mitchel"
175500,2484,7,1242,2,1.5,4,34,"NWAmes"
98000,1968,5,1344,3,1,4,92,"OldTown"
256000,3027,4,1663,2,2,5,54,"ClearCr"
161000,2254,8,1666,1,1,5,83,"OldTown"
110000,1912,5,1203,1,2,5,59,"BrkSide"
263435,2767,8,1935,2,3.5,4,0,"Somerst"
155000,1695,7,1135,2,2,5,73,"SWISU"
62383,1728,5,864,1,1,4,44,"Sawyer"
188700,2375,6,1660,1,1.5,4,74,"Crawfor"
124000,2080,5,1040,0,2,4,31,"CollgCr"
178740,2789,7,1414,2,2,5,2,"Blmngtn"
167000,2554,7,1277,2,2,4,37,"NAmes"
146500,2372,5,1644,1,1.5,5,65,"NAmes"
250000,3260,8,1634,3,2,5,1,"NridgHt"
187000,2542,6,1710,2,2.5,5,15,"SawyerW"
212000,2990,8,1502,2,2.5,5,25,"StoneBr"
190000,2777,7,1969,2,2.5,4,30,"NWAmes"
148000,1619,6,1072,2,2,4,3,"Edwards"
440000,3952,8,1976,3,3,5,1,"NridgHt"
251000,3146,8,1652,2,3,6,7,"StoneBr"
132500,1940,5,970,2,2,4,44,"Sawyer"
208900,2971,6,1493,2,3,5,11,"CollgCr"
380000,4796,9,2643,3,2.5,6,1,"NridgHt"
297000,3423,8,1718,3,3,5,2,"CollgCr"
89471,2038,4,1131,2,1,4,70,"OldTown"
326000,3683,9,1850,3,3,5,2,"NridgHt"
374000,3584,9,1792,3,3,6,3,"NridgHt"
155000,2736,7,1826,1,2.5,6,94,"OldTown"
164000,2432,6,1216,2,3,4,8,"Mitchel"
132500,1998,5,999,1,2,5,45,"Sawyer"
147000,2226,5,1113,1,1,5,59,"NAmes"
156000,2146,5,1073,2,2.5,4,42,"NAmes"
175000,2968,5,1484,2,2,4,36,"NWAmes"
160000,3368,5,2414,2,2,4,106,"OldTown"
86000,1260,4,630,1,2,5,39,"MeadowV"
115000,1568,5,1304,1,1.5,4,32,"MeadowV"
133000,2384,6,1578,1,2,3,65,"NAmes"
172785,2184,6,1456,2,2.5,4,0,"Gilbert"
155000,2538,5,1269,1,1.5,4,48,"NAmes"
91300,1076,5,886,1,1,4,71,"OldTown"
34900,1440,4,720,0,1,4,89,"IDOTRR"
430000,6428,8,3228,2,4,5,15,"NoRidge"
184000,2846,7,1820,1,3,4,83,"BrkSide"
130000,1763,5,899,1,1,5,42,"Sawyer"
120000,1824,5,912,1,1.5,4,49,"NAmes"
113000,1890,6,1218,1,1.5,4,34,"BrDale"
226700,2634,7,1768,2,2.5,5,3,"Somerst"
140000,2428,5,1214,2,2,4,42,"Edwards"
289000,3302,7,1801,2,3,4,51,"Crawfor"
147000,2177,6,1322,2,3,4,35,"NPkVill"
124500,2920,5,1960,2,2,4,57,"OldTown"
215000,2688,8,1911,2,2.5,5,13,"SawyerW"
208300,2436,6,1218,2,2,5,0,"Somerst"
161000,2067,7,1378,2,2,5,80,"OldTown"
